CD_DIST,NM_DIST,M >= 70 ANOS,F >= 70 ANOS,AREA_KM2,POP_TOTAL
150360620,Moraes Almeida,7,0,"12659,1676145",10497
150370505,Itupiranga,109,0,"7880,2957961",49754
150375405,Jacareacanga,8,0,"52041,6032402",23031
150375420,Porto Rico,0,0,"1262,9594498",1011
150380405,Jacundá,120,0,"2008,3328798",37707
150390305,Juruti,190,0,"8306,2404319",50881
150400005,Limoeiro do Ajuru,53,0,"1489,3558433",29569
150405905,Mãe do Rio,107,0,"469,3408840",34353
150410905,Magalhães Barata,31,0,"228,2766308",5548
150410910,Cafezal,17,0,"95,7069108",2567
150420805,Marabá,540,0,"15127,8723222",266533
150430705,Maracanã,70,0,"286,1335917",15916
150430715,Boa Esperança,3,0,"245,8266729",4231
150430740,São Roberto,18,0,"275,6678283",5824
150440605,Marapanim,58,0,"193,8023882",11151
150440610,Marudá,10,0,"69,6052648",1618
150440615,Matapiquara,0,0,"219,7435829",2548
150440620,Monte Alegre do Maú,14,0,"180,0884114",2819
150440622,Praia de Marudá,23,0,"141,3854648",8437
150442205,Marituba,211,0,"103,2136504",111785
150445505,Medicilândia,32,0,"3918,6067726",22084
150445535,União da Floresta,12,0,"4354,0219508",5010
150450505,Melgaço,24,0,"5046,9220356",23355
150450510,Areias,0,0,"1725,8422337",4526
150460405,Mocajuba,124,0,"589,4303299",23859
150460415,São Pedro de Viseu,3,0,"281,7376180",3339
150470305,Moju,112,0,"2524,7190020",64719
150470310,Cairari,35,0,"6569,4199853",19375
150475205,Mojuí dos Campos,59,0,"4988,2362763",23501
150480205,Monte Alegre,241,0,"18151,3233699",60012
150490105,Muaná,69,0,"3055,1721099",34504
150490110,São Francisco da Jararaca,25,0,"327,4115905",6506
150490115,São Miguel do Pracuúba,5,0,"380,7592141",4358
150495005,Nova Esperança do Piriá,30,0,"2808,1950502",20478
150497605,Nova Ipixuna,40,0,"1564,1838046",13955
150500705,Nova Timboteua,41,0,"328,9243773",9261
